module_id	module_label	program_family	pseudobulk_id	donor_id	ed_subgroup	n_genes_scored	genes_scored	mean_z_score
hallmark_inflammatory_response	Hallmark inflammatory response	immune	N1__Pericyte_like	N1	normal	199	IL1R1,EREG,MARCO,TNFSF9,VIP,SLAMF1,SGMS2,IFITM1,AQP9,SERPINE1,C3AR1,NOD2,MYC,PROK2,MSR1,ABCA1,TNFSF15,FZD5,SLC11A2,RNF144B,GPR183,CHST2,MEP1A,NPFFR2,HPN,ICAM4,HIF1A,ICAM1,LPAR1,KCNMB2,IL12B,SCARF1,FFAR2,TNFSF10,CD14,CMKLR1,SCN1B,EDN1,LYN,CCL24,GABBR1,IL10,CCL22,IL15,CCL20,IL10RA,SPHK1,NMI,TACR3,LIF,EMP3,TACR1,IL18,RHOG,OSMR,DCBLD2,IL1A,PTPRE,TLR2,BST2,IL1B,TLR1,MMP14,IL18R1,TLR3,BTG2,CD40,MEFV,EBI3,ADM,FPR1,SLC7A1,CX3CL1,SLC7A2,RIPK2,TIMP1,CCR7,KIF1B,GCH1,IFNGR2,GP1BA,F3,CD48,HBEGF,CDKN1A,PTGER2,PTAFR,KCNA3,PTGER4,CXCR6,GNAI3,GPR132,NAMPT,STAB1,CCL17,OLR1,CD55,ICOSLG,IL4R,SLC31A2,CD70,SEMA4D,OSM,SLC31A1,CXCL10,CXCL11,AXL,ABI1,LY6E,APLNR,CD69,SLC28A2,RAF1,RELA,CSF3R,CSF3,CD82,CSF1,RGS16,SLC1A2,AHR,PVR,ATP2C1,BEST1,PDPN,HAS2,LAMP3,CCRL2,NLRP3,GPC3,LDLR,INHBA,CYBB,SELE,NFKB1,MXD1,SELL,NMUR1,IFNAR1,IL7R,CALCRL,C5AR1,PSEN1,IL18RAP,RASGRP1,RGS1,CLEC5A,NDP,TNFRSF9,ROS1,ITGA5,EIF2AK2,TAPBP,ACVR2A,TNFRSF1B,IRF1,NFKBIA,IL6,ADORA2B,IRF7,LCP2,CXCL8,CXCL9,TNFAIP6,PIK3R5,CXCL6,ADGRE1,HRH1,IRAK2,BDKRB1,P2RY2,PDE4B,IL15RA,PTGIR,ADRM1,TPBG,OPRK1,PLAUR,ATP2B1,P2RX7,LCK,KLF6,P2RX4,IL2RB,LTA,MET,RTP4,ITGB3,SRI,ATP2A2,SLC4A4,ACVR1B,GNA15,CCL7,CCL5,PCDH7,CCL2,ITGB8,KCNJ2	-0.5769776987369687
hallmark_inflammatory_response	Hallmark inflammatory response	immune	N2__Pericyte_like	N2	normal	199	IL1R1,EREG,MARCO,TNFSF9,VIP,SLAMF1,SGMS2,IFITM1,AQP9,SERPINE1,C3AR1,NOD2,MYC,PROK2,MSR1,ABCA1,TNFSF15,FZD5,SLC11A2,RNF144B,GPR183,CHST2,MEP1A,NPFFR2,HPN,ICAM4,HIF1A,ICAM1,LPAR1,KCNMB2,IL12B,SCARF1,FFAR2,TNFSF10,CD14,CMKLR1,SCN1B,EDN1,LYN,CCL24,GABBR1,IL10,CCL22,IL15,CCL20,IL10RA,SPHK1,NMI,TACR3,LIF,EMP3,TACR1,IL18,RHOG,OSMR,DCBLD2,IL1A,PTPRE,TLR2,BST2,IL1B,TLR1,MMP14,IL18R1,TLR3,BTG2,CD40,MEFV,EBI3,ADM,FPR1,SLC7A1,CX3CL1,SLC7A2,RIPK2,TIMP1,CCR7,KIF1B,GCH1,IFNGR2,GP1BA,F3,CD48,HBEGF,CDKN1A,PTGER2,PTAFR,KCNA3,PTGER4,CXCR6,GNAI3,GPR132,NAMPT,STAB1,CCL17,OLR1,CD55,ICOSLG,IL4R,SLC31A2,CD70,SEMA4D,OSM,SLC31A1,CXCL10,CXCL11,AXL,ABI1,LY6E,APLNR,CD69,SLC28A2,RAF1,RELA,CSF3R,CSF3,CD82,CSF1,RGS16,SLC1A2,AHR,PVR,ATP2C1,BEST1,PDPN,HAS2,LAMP3,CCRL2,NLRP3,GPC3,LDLR,INHBA,CYBB,SELE,NFKB1,MXD1,SELL,NMUR1,IFNAR1,IL7R,CALCRL,C5AR1,PSEN1,IL18RAP,RASGRP1,RGS1,CLEC5A,NDP,TNFRSF9,ROS1,ITGA5,EIF2AK2,TAPBP,ACVR2A,TNFRSF1B,IRF1,NFKBIA,IL6,ADORA2B,IRF7,LCP2,CXCL8,CXCL9,TNFAIP6,PIK3R5,CXCL6,ADGRE1,HRH1,IRAK2,BDKRB1,P2RY2,PDE4B,IL15RA,PTGIR,ADRM1,TPBG,OPRK1,PLAUR,ATP2B1,P2RX7,LCK,KLF6,P2RX4,IL2RB,LTA,MET,RTP4,ITGB3,SRI,ATP2A2,SLC4A4,ACVR1B,GNA15,CCL7,CCL5,PCDH7,CCL2,ITGB8,KCNJ2	0.6974498580607725
hallmark_inflammatory_response	Hallmark inflammatory response	immune	N3__Pericyte_like	N3	normal	199	IL1R1,EREG,MARCO,TNFSF9,VIP,SLAMF1,SGMS2,IFITM1,AQP9,SERPINE1,C3AR1,NOD2,MYC,PROK2,MSR1,ABCA1,TNFSF15,FZD5,SLC11A2,RNF144B,GPR183,CHST2,MEP1A,NPFFR2,HPN,ICAM4,HIF1A,ICAM1,LPAR1,KCNMB2,IL12B,SCARF1,FFAR2,TNFSF10,CD14,CMKLR1,SCN1B,EDN1,LYN,CCL24,GABBR1,IL10,CCL22,IL15,CCL20,IL10RA,SPHK1,NMI,TACR3,LIF,EMP3,TACR1,IL18,RHOG,OSMR,DCBLD2,IL1A,PTPRE,TLR2,BST2,IL1B,TLR1,MMP14,IL18R1,TLR3,BTG2,CD40,MEFV,EBI3,ADM,FPR1,SLC7A1,CX3CL1,SLC7A2,RIPK2,TIMP1,CCR7,KIF1B,GCH1,IFNGR2,GP1BA,F3,CD48,HBEGF,CDKN1A,PTGER2,PTAFR,KCNA3,PTGER4,CXCR6,GNAI3,GPR132,NAMPT,STAB1,CCL17,OLR1,CD55,ICOSLG,IL4R,SLC31A2,CD70,SEMA4D,OSM,SLC31A1,CXCL10,CXCL11,AXL,ABI1,LY6E,APLNR,CD69,SLC28A2,RAF1,RELA,CSF3R,CSF3,CD82,CSF1,RGS16,SLC1A2,AHR,PVR,ATP2C1,BEST1,PDPN,HAS2,LAMP3,CCRL2,NLRP3,GPC3,LDLR,INHBA,CYBB,SELE,NFKB1,MXD1,SELL,NMUR1,IFNAR1,IL7R,CALCRL,C5AR1,PSEN1,IL18RAP,RASGRP1,RGS1,CLEC5A,NDP,TNFRSF9,ROS1,ITGA5,EIF2AK2,TAPBP,ACVR2A,TNFRSF1B,IRF1,NFKBIA,IL6,ADORA2B,IRF7,LCP2,CXCL8,CXCL9,TNFAIP6,PIK3R5,CXCL6,ADGRE1,HRH1,IRAK2,BDKRB1,P2RY2,PDE4B,IL15RA,PTGIR,ADRM1,TPBG,OPRK1,PLAUR,ATP2B1,P2RX7,LCK,KLF6,P2RX4,IL2RB,LTA,MET,RTP4,ITGB3,SRI,ATP2A2,SLC4A4,ACVR1B,GNA15,CCL7,CCL5,PCDH7,CCL2,ITGB8,KCNJ2	-0.16249226381788254
hallmark_inflammatory_response	Hallmark inflammatory response	immune	DMED1__Pericyte_like	DMED1	diabetic_ED	199	IL1R1,EREG,MARCO,TNFSF9,VIP,SLAMF1,SGMS2,IFITM1,AQP9,SERPINE1,C3AR1,NOD2,MYC,PROK2,MSR1,ABCA1,TNFSF15,FZD5,SLC11A2,RNF144B,GPR183,CHST2,MEP1A,NPFFR2,HPN,ICAM4,HIF1A,ICAM1,LPAR1,KCNMB2,IL12B,SCARF1,FFAR2,TNFSF10,CD14,CMKLR1,SCN1B,EDN1,LYN,CCL24,GABBR1,IL10,CCL22,IL15,CCL20,IL10RA,SPHK1,NMI,TACR3,LIF,EMP3,TACR1,IL18,RHOG,OSMR,DCBLD2,IL1A,PTPRE,TLR2,BST2,IL1B,TLR1,MMP14,IL18R1,TLR3,BTG2,CD40,MEFV,EBI3,ADM,FPR1,SLC7A1,CX3CL1,SLC7A2,RIPK2,TIMP1,CCR7,KIF1B,GCH1,IFNGR2,GP1BA,F3,CD48,HBEGF,CDKN1A,PTGER2,PTAFR,KCNA3,PTGER4,CXCR6,GNAI3,GPR132,NAMPT,STAB1,CCL17,OLR1,CD55,ICOSLG,IL4R,SLC31A2,CD70,SEMA4D,OSM,SLC31A1,CXCL10,CXCL11,AXL,ABI1,LY6E,APLNR,CD69,SLC28A2,RAF1,RELA,CSF3R,CSF3,CD82,CSF1,RGS16,SLC1A2,AHR,PVR,ATP2C1,BEST1,PDPN,HAS2,LAMP3,CCRL2,NLRP3,GPC3,LDLR,INHBA,CYBB,SELE,NFKB1,MXD1,SELL,NMUR1,IFNAR1,IL7R,CALCRL,C5AR1,PSEN1,IL18RAP,RASGRP1,RGS1,CLEC5A,NDP,TNFRSF9,ROS1,ITGA5,EIF2AK2,TAPBP,ACVR2A,TNFRSF1B,IRF1,NFKBIA,IL6,ADORA2B,IRF7,LCP2,CXCL8,CXCL9,TNFAIP6,PIK3R5,CXCL6,ADGRE1,HRH1,IRAK2,BDKRB1,P2RY2,PDE4B,IL15RA,PTGIR,ADRM1,TPBG,OPRK1,PLAUR,ATP2B1,P2RX7,LCK,KLF6,P2RX4,IL2RB,LTA,MET,RTP4,ITGB3,SRI,ATP2A2,SLC4A4,ACVR1B,GNA15,CCL7,CCL5,PCDH7,CCL2,ITGB8,KCNJ2	0.06672584393709229
hallmark_inflammatory_response	Hallmark inflammatory response	immune	DMED2__Pericyte_like	DMED2	diabetic_ED	199	IL1R1,EREG,MARCO,TNFSF9,VIP,SLAMF1,SGMS2,IFITM1,AQP9,SERPINE1,C3AR1,NOD2,MYC,PROK2,MSR1,ABCA1,TNFSF15,FZD5,SLC11A2,RNF144B,GPR183,CHST2,MEP1A,NPFFR2,HPN,ICAM4,HIF1A,ICAM1,LPAR1,KCNMB2,IL12B,SCARF1,FFAR2,TNFSF10,CD14,CMKLR1,SCN1B,EDN1,LYN,CCL24,GABBR1,IL10,CCL22,IL15,CCL20,IL10RA,SPHK1,NMI,TACR3,LIF,EMP3,TACR1,IL18,RHOG,OSMR,DCBLD2,IL1A,PTPRE,TLR2,BST2,IL1B,TLR1,MMP14,IL18R1,TLR3,BTG2,CD40,MEFV,EBI3,ADM,FPR1,SLC7A1,CX3CL1,SLC7A2,RIPK2,TIMP1,CCR7,KIF1B,GCH1,IFNGR2,GP1BA,F3,CD48,HBEGF,CDKN1A,PTGER2,PTAFR,KCNA3,PTGER4,CXCR6,GNAI3,GPR132,NAMPT,STAB1,CCL17,OLR1,CD55,ICOSLG,IL4R,SLC31A2,CD70,SEMA4D,OSM,SLC31A1,CXCL10,CXCL11,AXL,ABI1,LY6E,APLNR,CD69,SLC28A2,RAF1,RELA,CSF3R,CSF3,CD82,CSF1,RGS16,SLC1A2,AHR,PVR,ATP2C1,BEST1,PDPN,HAS2,LAMP3,CCRL2,NLRP3,GPC3,LDLR,INHBA,CYBB,SELE,NFKB1,MXD1,SELL,NMUR1,IFNAR1,IL7R,CALCRL,C5AR1,PSEN1,IL18RAP,RASGRP1,RGS1,CLEC5A,NDP,TNFRSF9,ROS1,ITGA5,EIF2AK2,TAPBP,ACVR2A,TNFRSF1B,IRF1,NFKBIA,IL6,ADORA2B,IRF7,LCP2,CXCL8,CXCL9,TNFAIP6,PIK3R5,CXCL6,ADGRE1,HRH1,IRAK2,BDKRB1,P2RY2,PDE4B,IL15RA,PTGIR,ADRM1,TPBG,OPRK1,PLAUR,ATP2B1,P2RX7,LCK,KLF6,P2RX4,IL2RB,LTA,MET,RTP4,ITGB3,SRI,ATP2A2,SLC4A4,ACVR1B,GNA15,CCL7,CCL5,PCDH7,CCL2,ITGB8,KCNJ2	-0.024705739443013842
hallmark_il6_jak_stat3	Hallmark IL6/JAK/STAT3 signaling	immune	N1__Pericyte_like	N1	normal	87	PTPN1,TGFB1,CCR1,PTPN2,IL4R,JUN,IL1R1,IL1R2,ITGA4,TNFRSF12A,IL10RB,PLA2G2A,DNTT,PTPN11,TYK2,OSMR,TNFRSF1A,TNFRSF1B,CXCL10,HAX1,TLR2,CXCL11,IL1B,IRF1,TNFRSF21,IL7,CXCL13,IL6,CD9,FAS,IL3RA,IL9R,IRF9,IL6ST,PF4,STAM2,CRLF2,IL18R1,CNTFR,ACVRL1,CSF3R,CXCL9,CSF2,CSF1,EBI3,PIK3R5,TNF,CXCL1,IL2RG,CXCL3,SOCS3,SOCS1,CD38,CD36,IL12RB1,MAP3K8,IL17RA,IL15RA,IFNGR1,STAT1,IFNGR2,STAT2,STAT3,INHBE,IL17RB,MYD88,LTBR,IL2RA,LTB,GRB2,IFNAR1,CD44,REG1A,ITGB3,PDGFC,CSF2RA,ACVR1B,CBL,CSF2RB,CCL7,HMOX1,LEPR,PIM1,BAK1,A2M,CD14,IL13RA1	-0.5942125499859534
hallmark_il6_jak_stat3	Hallmark IL6/JAK/STAT3 signaling	immune	N2__Pericyte_like	N2	normal	87	PTPN1,TGFB1,CCR1,PTPN2,IL4R,JUN,IL1R1,IL1R2,ITGA4,TNFRSF12A,IL10RB,PLA2G2A,DNTT,PTPN11,TYK2,OSMR,TNFRSF1A,TNFRSF1B,CXCL10,HAX1,TLR2,CXCL11,IL1B,IRF1,TNFRSF21,IL7,CXCL13,IL6,CD9,FAS,IL3RA,IL9R,IRF9,IL6ST,PF4,STAM2,CRLF2,IL18R1,CNTFR,ACVRL1,CSF3R,CXCL9,CSF2,CSF1,EBI3,PIK3R5,TNF,CXCL1,IL2RG,CXCL3,SOCS3,SOCS1,CD38,CD36,IL12RB1,MAP3K8,IL17RA,IL15RA,IFNGR1,STAT1,IFNGR2,STAT2,STAT3,INHBE,IL17RB,MYD88,LTBR,IL2RA,LTB,GRB2,IFNAR1,CD44,REG1A,ITGB3,PDGFC,CSF2RA,ACVR1B,CBL,CSF2RB,CCL7,HMOX1,LEPR,PIM1,BAK1,A2M,CD14,IL13RA1	0.6459485053194954
hallmark_il6_jak_stat3	Hallmark IL6/JAK/STAT3 signaling	immune	N3__Pericyte_like	N3	normal	87	PTPN1,TGFB1,CCR1,PTPN2,IL4R,JUN,IL1R1,IL1R2,ITGA4,TNFRSF12A,IL10RB,PLA2G2A,DNTT,PTPN11,TYK2,OSMR,TNFRSF1A,TNFRSF1B,CXCL10,HAX1,TLR2,CXCL11,IL1B,IRF1,TNFRSF21,IL7,CXCL13,IL6,CD9,FAS,IL3RA,IL9R,IRF9,IL6ST,PF4,STAM2,CRLF2,IL18R1,CNTFR,ACVRL1,CSF3R,CXCL9,CSF2,CSF1,EBI3,PIK3R5,TNF,CXCL1,IL2RG,CXCL3,SOCS3,SOCS1,CD38,CD36,IL12RB1,MAP3K8,IL17RA,IL15RA,IFNGR1,STAT1,IFNGR2,STAT2,STAT3,INHBE,IL17RB,MYD88,LTBR,IL2RA,LTB,GRB2,IFNAR1,CD44,REG1A,ITGB3,PDGFC,CSF2RA,ACVR1B,CBL,CSF2RB,CCL7,HMOX1,LEPR,PIM1,BAK1,A2M,CD14,IL13RA1	-0.28792755394161273
hallmark_il6_jak_stat3	Hallmark IL6/JAK/STAT3 signaling	immune	DMED1__Pericyte_like	DMED1	diabetic_ED	87	PTPN1,TGFB1,CCR1,PTPN2,IL4R,JUN,IL1R1,IL1R2,ITGA4,TNFRSF12A,IL10RB,PLA2G2A,DNTT,PTPN11,TYK2,OSMR,TNFRSF1A,TNFRSF1B,CXCL10,HAX1,TLR2,CXCL11,IL1B,IRF1,TNFRSF21,IL7,CXCL13,IL6,CD9,FAS,IL3RA,IL9R,IRF9,IL6ST,PF4,STAM2,CRLF2,IL18R1,CNTFR,ACVRL1,CSF3R,CXCL9,CSF2,CSF1,EBI3,PIK3R5,TNF,CXCL1,IL2RG,CXCL3,SOCS3,SOCS1,CD38,CD36,IL12RB1,MAP3K8,IL17RA,IL15RA,IFNGR1,STAT1,IFNGR2,STAT2,STAT3,INHBE,IL17RB,MYD88,LTBR,IL2RA,LTB,GRB2,IFNAR1,CD44,REG1A,ITGB3,PDGFC,CSF2RA,ACVR1B,CBL,CSF2RB,CCL7,HMOX1,LEPR,PIM1,BAK1,A2M,CD14,IL13RA1	0.21606001854340975
hallmark_il6_jak_stat3	Hallmark IL6/JAK/STAT3 signaling	immune	DMED2__Pericyte_like	DMED2	diabetic_ED	87	PTPN1,TGFB1,CCR1,PTPN2,IL4R,JUN,IL1R1,IL1R2,ITGA4,TNFRSF12A,IL10RB,PLA2G2A,DNTT,PTPN11,TYK2,OSMR,TNFRSF1A,TNFRSF1B,CXCL10,HAX1,TLR2,CXCL11,IL1B,IRF1,TNFRSF21,IL7,CXCL13,IL6,CD9,FAS,IL3RA,IL9R,IRF9,IL6ST,PF4,STAM2,CRLF2,IL18R1,CNTFR,ACVRL1,CSF3R,CXCL9,CSF2,CSF1,EBI3,PIK3R5,TNF,CXCL1,IL2RG,CXCL3,SOCS3,SOCS1,CD38,CD36,IL12RB1,MAP3K8,IL17RA,IL15RA,IFNGR1,STAT1,IFNGR2,STAT2,STAT3,INHBE,IL17RB,MYD88,LTBR,IL2RA,LTB,GRB2,IFNAR1,CD44,REG1A,ITGB3,PDGFC,CSF2RA,ACVR1B,CBL,CSF2RB,CCL7,HMOX1,LEPR,PIM1,BAK1,A2M,CD14,IL13RA1	0.020131580064661096
