,lfc_DvsNormal,padj_DvsNormal,lfc_DvsNonDiabED,p_DvsNonDiabED
IL6,4.5861017517723095,0.9996792209289632,0.6553315393356619,0.6997487450465474
ADAMTS4,4.189267473832907,0.9996792209289632,0.1923294572483962,0.8980406767684807
PLA2G2A,3.6438956822887065,0.5454776896528608,0.3633237324000591,0.7257592222524795
CYR61,2.394520806603306,0.9996792209289632,-0.8363052401016199,0.43150342643962003
PI15,3.742690815498485,0.03798294455838972,0.26081582470739456,0.7069535183337017
SH3BP5,2.7836194427563266,0.0009069224300117162,2.9940394416656284,2.2435495024711408e-07
ERAP2,-3.7323353307664657,0.10950546593723286,-3.515410872842937,0.0002559492137908901
RGS16,2.39159388054921,0.9996792209289632,-0.15286247450873244,0.9111211563488197
