cell_type	comparison	gene_symbol	full_logFC	full_PValue	full_FDR	n_lodo_runnable	n_lodo_gene_tested	n_lodo_same_direction	fraction_lodo_same_direction	n_lodo_nominal_0_05	n_lodo_FDR_0_10	n_lodo_FDR_0_05	min_lodo_logFC	max_lodo_logFC	leave_out_donors	stable_direction_all_lodo	gene_tested_all_lodo	stable_tested_direction_all_lodo	stable_direction_min_80pct	retained_nominal_signal_any_lodo	direction	program_ids	has_curated_program
Fibroblast	non_diabetic_ED_vs_normal	RNF165	4.76255103895713	2.39661295776606e-05	0.0278880628665795	6	6	6	1.0	6	4	1	4.3186848519371	5.19406476775735	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	NR4A2	1.98705253193218	2.52638539420325e-05	0.0278880628665795	6	6	6	1.0	6	4	1	1.73313520031222	2.11793277023991	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	non_diabetic_ED_vs_normal	NPR3	-1.89594888129302	2.54221174718136e-05	0.0278880628665795	6	6	6	1.0	6	4	2	-2.06761250356611	-1.77811688175506	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	RGS7BP	3.00798715402783	2.9346711705516e-05	0.0300471198915543	6	6	6	1.0	6	4	1	2.78340863885792	3.24722556808951	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	BRSK2	2.78267414151552	3.3421290709343e-05	0.0320802614196306	6	6	6	1.0	6	3	1	2.61214070943893	2.98191646222054	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	COL4A6	1.99045118638524	3.92047326553098e-05	0.0354180167129558	6	6	6	1.0	6	3	1	1.85133858346997	2.2290404657376	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	ecm_fibrosis	True
Fibroblast	non_diabetic_ED_vs_normal	EFNB2	1.7773255479434	4.33327643347061e-05	0.0355098403662652	6	6	6	1.0	6	3	1	1.61746456507773	1.96395859882555	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	endothelial_no_angiogenesis	True
Fibroblast	non_diabetic_ED_vs_normal	HMCN2	1.72457600884228	4.3930652881823e-05	0.0355098403662652	6	6	6	1.0	6	4	1	1.51938669648756	1.83157419577073	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	C8orf34	2.62682564119304	4.72277157429762e-05	0.0362661629190315	6	6	6	1.0	6	3	1	2.49502278205404	2.76135774153742	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	RORB	2.90237329019763	5.30341400556483e-05	0.0379717519914702	6	6	6	1.0	6	3	2	2.42615780513185	3.1929746489393	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	TYMS	-2.3808556083744	5.43937064599781e-05	0.0379717519914702	6	6	6	1.0	6	4	1	-2.53256670569044	-2.14416069613977	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	HOTAIR	3.0968399219181	6.04054288276002e-05	0.0388481637518955	6	6	6	1.0	6	5	1	2.86167198687444	3.69438055092994	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	PDK4	3.09036533633312	6.07081605707443e-05	0.0388481637518955	6	6	6	1.0	6	4	2	2.74100914480758	3.5526047703709	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	diabetes_age_metabolic,hypoxia_oxidative_metabolism	True
Fibroblast	non_diabetic_ED_vs_normal	COL4A5	1.59564695918892	7.04122703869094e-05	0.0422828157926761	6	6	6	1.0	6	2	1	1.41091969925591	1.72995641196884	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	ecm_fibrosis	True
Fibroblast	non_diabetic_ED_vs_normal	KLHL15	1.9949248572695	7.1597401979194e-05	0.0422828157926761	6	6	6	1.0	6	2	1	1.78238045897069	2.15332173421613	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	DUSP8	3.15190390074915	7.4334941164361e-05	0.0422828157926761	6	6	6	1.0	6	4	1	2.6766313154015	3.50353413862305	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	non_diabetic_ED_vs_normal	BHLHE22	-2.61829534014294	8.2044459191584e-05	0.0441806582223546	6	6	6	1.0	6	3	1	-2.76844005164499	-2.27948542888368	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	CBLN4	4.04051796608571	8.93453436971767e-05	0.0441806582223546	6	6	6	1.0	6	2	1	3.64962725123148	4.42225300406065	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	MSI1	3.76399708657817	8.9345932748195e-05	0.0441806582223546	6	6	6	1.0	6	3	1	3.47704308423543	4.21399547484539	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	DUSP5	3.56953359202299	9.33638133746861e-05	0.0441806582223546	6	6	6	1.0	6	2	2	3.156810930949	3.96105118179806	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	non_diabetic_ED_vs_normal	SCUBE2	2.78151148296737	9.42907145943318e-05	0.0441806582223546	6	6	6	1.0	6	3	1	2.24459611689679	3.05012072383845	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	HOOK1	2.83199220647262	9.49317438037311e-05	0.0441806582223546	6	6	6	1.0	6	2	1	2.41773437275908	3.17704750245547	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	ENTPD2	1.94525717321629	9.83451425218422e-05	0.0444230793779545	6	6	6	1.0	6	3	1	1.79933683001339	2.25417968285517	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	DAZL	3.44166929104611	0.0001024692888153	0.0447159845428638	6	6	6	1.0	6	2	1	3.02399062653979	3.76197107273904	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	SRF	1.70341370713858	0.0001048167367849	0.0447159845428638	6	6	6	1.0	6	2	1	1.42270314338985	1.8799212242984	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	LINC00632	-2.31004659170354	0.0001101898167417	0.0457377082573078	6	6	6	1.0	6	2	1	-2.62352223059701	-2.06614373152138	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	LRRC17	2.14734235570434	0.0001185629233672	0.0469652215971461	6	6	6	1.0	6	1	1	1.94035525898986	2.49269597302326	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	TCEAL6	2.2210894644087	0.0001270553950853	0.0469652215971461	6	6	6	1.0	6	3	1	1.98961505495662	2.47625827275193	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	CNTNAP4	-2.59835585394678	0.0001283577284162	0.0469652215971461	6	6	6	1.0	6	2	1	-2.81399036311697	-2.39785253132922	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	ADAMTS1	3.16340268606135	0.0001298172507164	0.0469652215971461	6	6	6	1.0	6	3	2	2.83567102023091	3.81752605078137	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	ecm_fibrosis	True
Fibroblast	non_diabetic_ED_vs_normal	GNAO1	2.74531369291407	0.0001305856981308	0.0469652215971461	6	6	6	1.0	6	2	1	2.19362444930303	2.98678719941746	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	non_diabetic_ED_vs_normal	IGSF21	2.53046482488267	0.0001314952812005	0.0469652215971461	6	6	6	1.0	6	3	2	2.22802368413468	3.09355044421369	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	organic_ED_vs_normal	MECOM	-3.15025822069696	1.22580751102448e-06	0.0109537703928927	8	8	8	1.0	8	8	7	-3.32601792331932	-3.01899397069354	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
