mural_subtype	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Pericyte_like	diabetic_ED_vs_normal	CYR61	up_in_ED	2.41411122597973	7.58587202968645	4.6160050257688e-05	0.0351823510327688	3	2	5.987011123483384	8.46018967209785	2.4731785486144666	2	1.0	2	N1__Pericyte_like:5.699;N2__Pericyte_like:6.929;N3__Pericyte_like:5.332	DMED1__Pericyte_like:8.806;DMED2__Pericyte_like:8.115
Pericyte_like	diabetic_ED_vs_normal	RGS16	up_in_ED	2.4128744373486	6.62949047735116	6.98595367453169e-05	0.0488085296727281	3	2	5.1077107894451705	7.295031731907811	2.18732094246264	2	1.0	2	N1__Pericyte_like:4.895;N2__Pericyte_like:5.589;N3__Pericyte_like:4.839	DMED1__Pericyte_like:6.569;DMED2__Pericyte_like:8.021
Pericyte_like	diabetic_ED_vs_normal	THBS1	up_in_ED	3.47266620667116	4.91438605310059	8.09138849945869e-05	0.052183231676509	3	2	2.366971119422294	5.5127744544694535	3.1458033350471593	2	1.0	2	N1__Pericyte_like:1.335;N2__Pericyte_like:3.735;N3__Pericyte_like:2.031	DMED1__Pericyte_like:4.579;DMED2__Pericyte_like:6.447
Pericyte_like	diabetic_ED_vs_normal	F8	up_in_ED	2.16074216582073	6.10775937320633	0.0001118072407018	0.0669565647174546	3	2	4.723382072375235	6.850061333601623	2.1266792612263883	2	1.0	2	N1__Pericyte_like:3.871;N2__Pericyte_like:5.461;N3__Pericyte_like:4.839	DMED1__Pericyte_like:7.352;DMED2__Pericyte_like:6.348
Pericyte_like	diabetic_ED_vs_normal	CPM	up_in_ED	2.07163510745477	6.2180994989311	0.0001345428327753	0.0722530514944149	3	2	4.8860716804058955	6.979051922655377	2.0929802422494816	2	1.0	2	N1__Pericyte_like:4.628;N2__Pericyte_like:5.762;N3__Pericyte_like:4.268	DMED1__Pericyte_like:7.318;DMED2__Pericyte_like:6.641
Pericyte_like	diabetic_ED_vs_normal	NAMPT	up_in_ED	2.10143293240981	7.26898504540819	0.0001378875028519	0.0722530514944149	3	2	5.9233862036644025	8.045064671106674	2.1216784674422717	2	1.0	2	N1__Pericyte_like:5.489;N2__Pericyte_like:6.829;N3__Pericyte_like:5.453	DMED1__Pericyte_like:7.757;DMED2__Pericyte_like:8.333
Pericyte_like	diabetic_ED_vs_normal	RGCC	up_in_ED	2.19306085928602	4.53776301302505	0.0001552964285036	0.0765885445044086	3	2	3.1126508518559106	5.232839623141747	2.1201887712858367	2	1.0	2	N1__Pericyte_like:2.920;N2__Pericyte_like:3.735;N3__Pericyte_like:2.683	DMED1__Pericyte_like:5.252;DMED2__Pericyte_like:5.214
Pericyte_like	diabetic_ED_vs_normal	SMOC1	up_in_ED	2.30299074269098	5.58387394651989	0.0001936896571882	0.0872958460081914	3	2	3.986298117798152	6.31714905707358	2.3308509392754284	2	1.0	2	N1__Pericyte_like:4.142;N2__Pericyte_like:4.892;N3__Pericyte_like:2.924	DMED1__Pericyte_like:5.939;DMED2__Pericyte_like:6.695
Pericyte_like	diabetic_ED_vs_normal	FABP4	down_in_ED	-1.89938206956764	6.85889522630614	0.000206618186881	0.0872958460081914	3	2	7.261620413722521	5.4071754501108025	-1.8544449636117184	2	1.0	2	N1__Pericyte_like:7.476;N2__Pericyte_like:7.046;N3__Pericyte_like:7.263	DMED1__Pericyte_like:5.392;DMED2__Pericyte_like:5.423
Pericyte_like	diabetic_ED_vs_normal	GEM	up_in_ED	1.85389121016339	6.65527625838507	0.0002082439074622	0.0872958460081914	3	2	5.534891194413134	7.321681835591957	1.7867906411788237	2	1.0	2	N1__Pericyte_like:5.583;N2__Pericyte_like:5.867;N3__Pericyte_like:5.155	DMED1__Pericyte_like:6.931;DMED2__Pericyte_like:7.712
Pericyte_like	diabetic_ED_vs_normal	EGR3	up_in_ED	3.46856320268838	4.83177240160244	0.0002443079056979	0.0975370229224519	3	2	2.2421726144951286	5.1855965364000385	2.94342392190491	2	1.0	2	N1__Pericyte_like:2.183;N2__Pericyte_like:1.619;N3__Pericyte_like:2.924	DMED1__Pericyte_like:3.893;DMED2__Pericyte_like:6.478
Pericyte_like	non_diabetic_ED_vs_normal	PLA2G2A	up_in_ED	3.79232456546876	6.92690242814756	1.5405907371929e-05	0.0784641043480855	3	2	3.970591499561229	8.026897418506302	4.056305918945073	2	1.0	2	N1__Pericyte_like:2.183;N2__Pericyte_like:5.079;N3__Pericyte_like:4.650	ED1__Pericyte_like:7.629;ED3__Pericyte_like:8.424
Pericyte_like	non_diabetic_ED_vs_normal	PI15	up_in_ED	3.77104385044876	4.3440976077401	2.56650017337597e-05	0.0784641043480855	3	2	1.8236209893390631	5.428983986063766	3.605362996724703	2	1.0	2	N1__Pericyte_like:1.820;N2__Pericyte_like:1.619;N3__Pericyte_like:2.031	ED1__Pericyte_like:6.044;ED3__Pericyte_like:4.813
Pericyte_like	non_diabetic_ED_vs_normal	HBA1	up_in_ED	6.39428034699743	9.01627941879549	2.75344850911518e-05	0.0784641043480855	3	2	3.3604535202818275	9.45471333009006	6.094259809808232	2	1.0	2	N1__Pericyte_like:1.820;N2__Pericyte_like:3.204;N3__Pericyte_like:5.057	ED1__Pericyte_like:11.109;ED3__Pericyte_like:7.800
Pericyte_like	organic_ED_vs_normal	PI15	up_in_ED	3.72717797869144	4.80319139150566	2.52825923832946e-06	0.0117031037234026	3	4	1.8236209893390631	5.376213613269394	3.552592623930331	4	1.0	4	N1__Pericyte_like:1.820;N2__Pericyte_like:1.619;N3__Pericyte_like:2.031	DMED1__Pericyte_like:5.042;DMED2__Pericyte_like:5.605;ED1__Pericyte_like:6.044;ED3__Pericyte_like:4.813
Pericyte_like	organic_ED_vs_normal	PLA2G2A	up_in_ED	3.73189800187037	7.31138804883372	2.85615710150155e-06	0.0117031037234026	3	4	3.970591499561229	7.940936244033009	3.9703447444717797	4	1.0	4	N1__Pericyte_like:2.183;N2__Pericyte_like:5.079;N3__Pericyte_like:4.650	DMED1__Pericyte_like:8.267;DMED2__Pericyte_like:7.443;ED1__Pericyte_like:7.629;ED3__Pericyte_like:8.424
Vessel_SMC_like	diabetic_ED_vs_normal	CRISPLD2	up_in_ED	2.79615510653428	6.72947678045931	5.82530665660793e-06	0.0486704371159592	3	2	4.88389252401601	7.586778622581831	2.7028860985658216	2	1.0	2	N1__Vessel_SMC_like:5.200;N2__Vessel_SMC_like:4.935;N3__Vessel_SMC_like:4.517	DMED1__Vessel_SMC_like:7.606;DMED2__Vessel_SMC_like:7.567
Vessel_SMC_like	diabetic_ED_vs_normal	NR4A3	up_in_ED	6.11248167725149	5.69993366592898	1.69975946239376e-05	0.0710074515414994	3	2	1.2381012506186275	6.1789511043209195	4.940849853702292	2	1.0	2	N1__Vessel_SMC_like:2.030;N2__Vessel_SMC_like:0.792;N3__Vessel_SMC_like:0.892	DMED1__Vessel_SMC_like:5.011;DMED2__Vessel_SMC_like:7.347
