group	names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group	pct_nz_reference
0	RPL19	69.021164	0.68072444	0.0	0.0	1.0	0.9948261520545666
0	RPS19	68.49781	0.9529007	0.0	0.0	1.0	0.9860089835301946
0	AKR1C3	67.96	2.2271616	0.0	0.0	0.8066762236330125	0.3640991515554816
0	PERP	67.85774	2.0252826	0.0	0.0	0.8650419823878763	0.45067376476459825
0	DKK3	67.335304	1.9924783	0.0	0.0	0.8849068195781282	0.465430044917651
0	RPS6	67.05614	0.7942266	0.0	0.0	0.9995904157280361	0.9906504741307602
0	RPS2	67.00365	0.77693415	0.0	0.0	0.999795207864018	0.9930793545167194
0	TSPAN7	66.70678	2.3135335	0.0	0.0	0.8150727012082736	0.29505905839294627
0	RPL36	66.42654	0.84485835	0.0	0.0	0.9981568707761622	0.9824155714523374
0	GUK1	66.2498	1.236388	0.0	0.0	0.9701003481466312	0.8239727166860755
0	NPDC1	65.97993	1.7030575	0.0	0.0	0.9256604546385419	0.5803027782398935
0	SDPR	65.59979	2.2812636	0.0	0.0	0.9653901290190456	0.4672101147895525
0	CLEC3B	65.34325	2.315307	0.0	0.0	0.7945934876100758	0.29477624355348525
0	NACA	65.26246	0.7314063	0.0	0.0	0.9979520786401802	0.9830976543004492
0	ESAM	65.26019	2.1602187	0.0	0.0	0.8351423305345075	0.3284312094493429
0	IGFBP2	65.142845	2.0017045	0.0	0.0	0.8793774319066148	0.4508567626018965
0	CD93	64.980774	2.2997065	0.0	0.0	0.8189637517919311	0.2851439028447846
0	RPL24	64.97031	0.6934013	0.0	0.0	0.9987712471841081	0.9865912493761437
0	GIMAP4	64.80227	2.3318508	0.0	0.0	0.7995084988736433	0.2609715521543836
0	RPL10	64.35697	0.58650756	0.0	0.0	1.0	0.9990184661454001
0	PDLIM1	64.29139	1.7578633	0.0	0.0	0.8902314151136597	0.5333887872234238
0	ARL4A	64.11773	2.1341157	0.0	0.0	0.8130247798484538	0.36661121277657627
0	ADGRF5	63.88601	2.2517366	0.0	0.0	0.8761007577309031	0.3032274164032607
0	EEF1B2	63.66432	1.0550034	0.0	0.0	0.9823878763055499	0.9126933954416903
