leiden_r0_5	score_Fibroblast	score_Smooth_muscle	score_Endothelial	score_Pericyte	score_Macrophage	score_T_cell	score_B_or_plasma_cell	score_Mast_cell	score_Schwann_or_neural	score_Epithelial
0	-0.8969515103301917	-0.8255397224932028	0.7690393955888369	-0.16464053727236289	-0.05956491995445331	-0.04245481337790717	-0.07820604005749537	0.03720652499954256	-0.01080832848509833	0.029802207863968023
1	-0.5003998023678927	-0.2211768397685219	-0.24218870921869248	-0.149720456421094	2.0501045193766365	-0.04330953209618133	-0.08655588796621769	-0.02119139419138963	-0.015694401649204517	-0.03221270483679089
2	1.632758675802988	-0.34408551396299597	-0.44438039828277864	0.02850707823719806	-0.04704922495272716	-0.041432233350622176	-0.057062933759921206	-0.0189119870336491	0.020650993560006443	-0.012354333486708568
3	-0.8950224736541551	-0.5700530594371545	0.9220293125726812	-0.10749661585672304	-0.06711677727390264	-0.04414803499569658	-0.0694701326544819	-0.0191320426800273	-0.013785896204281249	0.045433245540764486
4	-0.48805754071000146	-0.18114612576950465	-0.26622946719320373	-0.0418062279817269	-0.034143268519837525	1.2373280191392846	0.005040821472476198	0.003098183479246437	-0.013444372159250916	-0.02187660452374965
5	1.383553553515007	-0.47166540989449185	-0.40821303946213544	0.050295419788593365	-0.03526265824767757	-0.03819337247657916	-0.04104632852559446	-0.02004473521054862	0.012912785791229	-0.020586036593052016
6	-0.04305690934758857	0.8989634146040988	-0.37299230453808635	0.8129472689053654	-0.04557748325120734	-0.03527662628109594	-0.07807393410447307	-0.011319573321173677	-0.006543520510393716	-0.007980492482494815
7	0.7012313440677193	-0.45557935982247194	0.3339107141603364	-0.001775203686621453	-0.04669572731961807	-0.05027433464858267	-0.05523768174482716	0.004994313480208318	-0.0006504639933756249	0.006253091280857722
8	-0.7390446064964057	2.1040208529579982	-0.419195040940455	1.1766585688117457	-0.07441186402150322	-0.044519798695522125	-0.08918991691689784	-0.016741273401552025	-0.011447712931174818	-0.016460511390477814
9	1.1648635453948348	-0.13540616574179987	-0.455427164028012	0.08259691870172879	-0.06335698607710771	-0.045676611678635716	0.043869921277928096	-0.024346814531197747	0.006880411157298002	-0.020765220692300575
10	-0.9104645529159678	-0.6098100611559373	1.0998854700090865	-0.09748541940824397	-0.07380812551357784	-0.0522965486924149	-0.08855745497778003	-0.021274647411360616	-0.013986541705855636	0.04796104845362525
11	1.0982153226032052	-0.16409375848334323	-0.4017298218684555	0.05326938827063448	-0.04437249136652997	-0.0418862147772184	-0.09723998353660748	-0.021867721629527305	0.06446505238573523	0.017608485572261193
12	0.04301494259284868	1.3537893485686914	-0.11704860846193177	0.8040172596999338	-0.08138810626489332	-0.05327733433355825	-0.05307986577435898	-0.014611116413334208	-0.004444223244233504	-0.009322104198988093
13	-0.4104832325921971	2.848942227246865	-0.41824910004280313	0.42832923479257606	-0.06514758728761666	-0.04517585581788687	-0.10546995398580666	-0.008337908621033847	-0.011176077960145598	-0.01886668051293609
14	-0.7434085727278396	-0.7181560135694115	0.9473204639031882	-0.14689891856977652	-0.047509768079217404	-0.042756029750545314	-0.07103272532907536	0.047204096016073074	-0.010422628368289933	0.02516013840861048
15	1.1590736563872575	-0.7301208334348418	-0.49074698183203425	0.009523826315099926	-0.06123330910127839	-0.055405083741761944	-0.04215235272228126	-0.02701656979905053	-0.0013528550575928407	-0.02424347310342428
16	-0.16576748129419216	-0.04247597695592053	-0.2876528793050532	0.0662848885346176	-0.07500331707287551	-0.06257992710983544	-0.07969529560036527	-0.03550873783298005	2.3652085145491695	-0.03128539031609556
17	1.255793680542607	-0.4514683441953576	-0.4678291299706313	0.010666632752670645	-0.06115101974081874	-0.04175313728246655	-0.02534393254655812	-0.021159639191409316	0.011071117258436841	-0.02081560668043474
18	-0.8257699613364677	-0.24583442917319787	0.6009078643256415	-0.07319891098163138	-0.05796718694153532	-0.0442056942543487	-0.08100894836670602	0.026192189487410904	-0.010312686659120374	0.01888013406244851
19	1.1783779526156717	0.2480741260965022	-0.4572417266429267	0.0830754138324117	-0.047829155278574995	-0.042349239595473834	-0.027832781374664224	-0.020882813405562757	0.011372753135586661	-0.017785966318061366
20	0.9129157369082646	-0.40572465140007685	-0.44588671488611037	-0.041385615097513984	-0.04764769520586377	-0.043744834154106016	-0.03776089595732372	-0.018901300090044152	0.0002020935760951985	-0.01998176529970268
21	-0.8367940162018196	-0.6360893282545215	0.6774028993821712	-0.12980609056499565	-0.05070541305124496	-0.03956100539170792	-0.08772741694995237	0.002837043945368699	-0.011211111856580093	0.0652243086565239
22	-0.9375969168119264	-0.9212843217463522	0.6200040127789904	-0.1978627972141344	-0.06524154504214114	-0.03650339959295173	-0.0850716472992423	0.011543434106362492	-0.011422433178943795	0.03186403233979878
