comparison_level	leiden_r0_5	author_cluster	n_overlap_top100	jaccard_top100	overlap_genes_top30_display
author_7_major_clusters	14	FB	0	0.0	
author_7_major_clusters	14	SMC	0	0.0	
author_7_major_clusters	15	FB	52	0.35135135135135137	ABCA8,AKAP12,ALDH1A1,APOD,C1R,C1S,C3,CCDC80,CFD,CFH,COL14A1,COL6A3,CTSK,CXCL14,CYBRD1,CYGB,DCN,DPT,FBLN1,FGF7,GAS1,GPNMB,GSN,HSD11B1,IGFBP6,LAMA2,LRP1,LTBP2,LTBP4,MFAP4
author_7_major_clusters	15	SWC	5	0.02564102564102564	ABCA8,JUN,PIK3R1,PMP22,TMEM176B
author_7_major_clusters	15	MAC	1	0.005025125628140704	SEPP1
author_7_major_clusters	15	PC	1	0.005025125628140704	PDGFRB
author_7_major_clusters	15	EC	0	0.0	
author_7_major_clusters	15	SMC	0	0.0	
author_7_major_clusters	15	T	0	0.0	
author_7_major_clusters	16	SWC	67	0.5037593984962406	AATK,ABCA8,AHR,ALCAM,ANGPTL7,ANK3,ARHGAP15,C8orf4,CADM1,CADM2,CDH19,CHL1,CLIC4,CMTM5,COL28A1,COL9A3,CRYAB,DST,EHBP1,ERBB3,FAM134B,FOXD3,FXYD1,GAS7,GFRA3,GPM6B,GPR155,HSPA12A,ITGB8,KCNMB4
author_7_major_clusters	16	FB	6	0.030927835051546393	ABCA8,ALDH1A1,FXYD1,LGALS1,RARRES2,TMEM176B
author_7_major_clusters	16	PC	3	0.015228426395939087	FXYD1,LGI4,MT1E
author_7_major_clusters	16	SMC	3	0.015228426395939087	CRYAB,CSRP1,LGI4
author_7_major_clusters	16	EC	2	0.010101010101010102	CD9,NRN1
author_7_major_clusters	16	MAC	2	0.010101010101010102	IQGAP2,MARCKS
author_7_major_clusters	16	T	1	0.005025125628140704	IQGAP2
author_7_major_clusters	17	FB	31	0.1834319526627219	APOD,CCDC80,CFD,COL14A1,COL1A1,COL1A2,COL3A1,COL6A2,COL6A3,CTGF,CXCL12,CYR61,DCN,EMP3,FBLN1,GAS1,GSN,IGF1,LUM,MEG3,MFAP4,MMP2,OLFML3,PCOLCE,PLAC9,PLPP3,PTN,RND3,SERPINF1,SPON2
author_7_major_clusters	17	SWC	5	0.02564102564102564	EGR1,JUNB,MT1E,RHOB,TUBA1A
author_7_major_clusters	17	PC	4	0.02040816326530612	ADAMTS1,C11orf96,MT1E,MT1M
author_7_major_clusters	17	SMC	2	0.010101010101010102	ACTB,C11orf96
author_7_major_clusters	17	T	2	0.010101010101010102	ACTB,IRF1
author_7_major_clusters	17	EC	0	0.0	
author_7_major_clusters	17	MAC	0	0.0	
author_7_major_clusters	18	EC	57	0.3986013986013986	ABCG2,ADGRF5,ALDH1A2,APOLD1,ARHGAP29,B2M,CALCRL,CAV1,CCL14,CD74,CD9,CD93,CLEC14A,CLU,DUSP1,ECSCR.1,EFNB2,EGFL7,EMCN,FLT1,GIMAP7,GNG11,GPM6A,HES1,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E,HYAL2
author_7_major_clusters	18	MAC	5	0.02564102564102564	CD74,HLA-DRA,HLA-DRB1,RNASE1,SRGN
author_7_major_clusters	18	SWC	1	0.005025125628140704	EGR1
author_7_major_clusters	18	T	1	0.005025125628140704	SRGN
author_7_major_clusters	18	FB	0	0.0	
author_7_major_clusters	18	PC	0	0.0	
author_7_major_clusters	18	SMC	0	0.0	
author_7_major_clusters	19	FB	39	0.2422360248447205	AKAP12,APOD,C3,CCDC80,CFD,CILP,COL1A1,COL1A2,COL6A1,COL6A2,COL6A3,CYR61,DCN,DPT,EMP3,FBLN1,G0S2,GAS1,GPX3,GSN,IGF1,IGFBP6,LGALS1,LRP1,LTBP4,MEG3,MGST1,MMP2,MYOC,PLAC9
author_7_major_clusters	19	SWC	5	0.02564102564102564	EGR1,JUN,JUNB,TMEM176B,TUBA1A
author_7_major_clusters	19	T	4	0.02040816326530612	GADD45B,IRF1,S100A4,TUBB4B
author_7_major_clusters	19	PC	3	0.015228426395939087	CAMK2N1,HSPB6,IGFBP5
author_7_major_clusters	19	SMC	3	0.015228426395939087	DES,HSPB6,IGFBP5
author_7_major_clusters	19	MAC	1	0.005025125628140704	FTL
author_7_major_clusters	19	EC	0	0.0	
author_7_major_clusters	2	FB	50	0.3333333333333333	APOD,C1R,C1S,CCDC80,CFD,CFH,COL14A1,COL1A1,COL1A2,COL3A1,COL6A1,COL6A2,COL6A3,CRABP2,CTGF,CTSK,DCN,DHRS3,DPT,EMP3,FBLN1,GPNMB,GSN,IGFBP6,LGALS1,LGALS3BP,LRP1,LTBP4,LUM,MFAP4
author_7_major_clusters	2	MAC	3	0.015228426395939087	CST3,CYBA,FTL
author_7_major_clusters	2	T	2	0.010101010101010102	CYBA,S100A4
author_7_major_clusters	2	PC	1	0.005025125628140704	THY1
author_7_major_clusters	2	SMC	1	0.005025125628140704	SELM
author_7_major_clusters	2	SWC	1	0.005025125628140704	TUBA1A
author_7_major_clusters	2	EC	0	0.0	
author_7_major_clusters	20	FB	49	0.32450331125827814	APOD,C1R,CCDC80,CFD,CFH,COL6A2,COL6A3,CTGF,CTSK,CYGB,CYR61,DCN,DPT,EMP3,FBLN1,FBLN5,FGF7,GPNMB,GPX3,GSN,HSD11B1,IGF1,IGFBP6,LGALS3BP,LRP1,LTBP4,LUM,MEG3,MFAP4,MGST1
author_7_major_clusters	20	SWC	3	0.015228426395939087	PMP22,RHOB,TMEM176B
author_7_major_clusters	20	MAC	2	0.010101010101010102	CST3,LGMN
author_7_major_clusters	20	EC	0	0.0	
author_7_major_clusters	20	PC	0	0.0	
author_7_major_clusters	20	SMC	0	0.0	
author_7_major_clusters	20	T	0	0.0	
author_7_major_clusters	21	EC	37	0.22699386503067484	ADGRF5,APOLD1,ARHGAP29,CAV1,CD74,CD9,CD93,CLEC14A,CLEC3B,CLU,CRIP2,DUSP1,ECSCR.1,EMCN,ESAM,HLA-B,HLA-DRB1,HLA-E,HYAL2,KANK3,KLF2,LMO2,MMRN1,MMRN2,NPDC1,PALMD,PECAM1,PLAT,PLVAP,PODXL
author_7_major_clusters	21	MAC	5	0.02564102564102564	CD74,HLA-DPA1,HLA-DRB1,HLA-DRB5,SRGN
author_7_major_clusters	21	T	4	0.02040816326530612	RPS19,SRGN,TSC22D3,TUBB4B
author_7_major_clusters	21	SMC	1	0.005025125628140704	ADIRF
