comparison_level	leiden_r0_5	author_cluster	n_overlap_top100	jaccard_top100	overlap_genes_top30_display
author_11_subclusters	13	CC SMC	71	0.5503875968992248	AC013461.1,ACTA2,ACTB,ACTG2,AOC3,C1QTNF1,C2orf40,CALD1,CHCHD10,CKB,CNN1,CRYAB,CSRP1,DES,DSTN,FHL1,FLNA,FRZB,GUCY1A3,ID4,IGFBP7,ITGA8,ITM2C,KCNMA1,KCNMB1,LMOD1,LPP,MAP1B,MCAM,MRVI1
author_11_subclusters	13	Vessel SMC	50	0.3333333333333333	AC013461.1,ACTA2,ACTB,ACTG2,C2orf40,CALD1,CHCHD10,CKB,CNN1,CRYAB,CSRP1,DSTN,FHL1,FILIP1,FLNA,FRZB,GUCY1A3,ID4,IGFBP7,ITGA8,KCNMB1,LMOD1,LPP,MCAM,MRVI1,MYH11,MYL6,MYL9,MYLK,NEXN
author_11_subclusters	13	PC	30	0.17647058823529413	ACTA2,ACTG2,C2orf40,CALD1,CHCHD10,CKB,CNN1,DES,FHL1,FLNA,GUCY1A3,IGFBP7,ITM2C,LMOD1,LPP,MAP1B,MRVI1,MYH11,MYL9,MYLK,PDE5A,PPP1R14A,RARRES2,RCAN2,SYNPO2,TAGLN,TGFB1I1,TNS1,TPM1,TPM2
author_11_subclusters	13	APOC1+ FB	3	0.015228426395939087	CRLF1,RARRES2,SELM
author_11_subclusters	13	SWC	2	0.010101010101010102	CRYAB,SORBS2
author_11_subclusters	13	T	2	0.010101010101010102	ACTB,PFN1
author_11_subclusters	13	Vessel EC	2	0.010101010101010102	FILIP1,GUCY1A3
author_11_subclusters	13	COMP+ FB	1	0.005025125628140704	CRLF1
author_11_subclusters	13	PI16+ FB	1	0.005025125628140704	MAP1B
author_11_subclusters	13	CC EC	0	0.0	
author_11_subclusters	13	MAC	0	0.0	
author_11_subclusters	14	CC EC	58	0.4084507042253521	ACKR4,ADGRF5,ALDH1A2,ARHGAP29,ARL4A,B2M,CAV1,CCL14,CD74,CD93,CLDN5,CLEC14A,CLU,ECSCR.1,EFNA1,EFNB2,EGFL7,EMCN,EPAS1,ETS2,FAM188B,FOXC2,GIMAP1,GIMAP4,GIMAP7,GNG11,GPM6A,HLA-A,HLA-B,HLA-C
author_11_subclusters	14	Vessel EC	22	0.12359550561797752	CAV1,CLDN5,CLEC14A,EFNB2,EGFL7,EPAS1,GIMAP1,GIMAP4,GIMAP7,GNG11,HLA-E,KCTD12,LMO2,PALMD,PECAM1,PODXL,RNASE1,SDPR,SOX18,SYNE2,TM4SF1,UTRN
author_11_subclusters	14	MAC	3	0.015228426395939087	CD74,HLA-DRA,RNASE1
author_11_subclusters	14	SWC	1	0.005025125628140704	NRN1
author_11_subclusters	14	T	1	0.005025125628140704	RPS19
author_11_subclusters	14	APOC1+ FB	0	0.0	
author_11_subclusters	14	CC SMC	0	0.0	
author_11_subclusters	14	COMP+ FB	0	0.0	
author_11_subclusters	14	PC	0	0.0	
author_11_subclusters	14	PI16+ FB	0	0.0	
author_11_subclusters	14	Vessel SMC	0	0.0	
author_11_subclusters	15	PI16+ FB	51	0.3422818791946309	AKAP12,ALDH1A1,APOD,C1R,C1S,C3,CCDC80,CFD,CFH,CHRDL1,COL14A1,COL6A3,CTSK,CXCL14,CYBRD1,DCN,DPT,FBLN1,FBLN2,FGF7,GAS1,GPNMB,GSN,IGFBP6,LAMA2,LGALS3,LRP1,LTBP2,LTBP4,MFAP4
author_11_subclusters	15	APOC1+ FB	50	0.3333333333333333	ABCA8,AKAP12,APOD,C1R,C1S,C3,CFD,CFH,COL14A1,COL6A3,CXCL14,CYBRD1,CYGB,DCN,DDR2,DPT,EBF1,FBLN1,FGF7,GAS1,GPNMB,GSN,HSD11B1,IRX3,JUN,LAPTM4A,LRP1,LTBP4,MFAP4,MGST1
author_11_subclusters	15	COMP+ FB	39	0.2422360248447205	ABI3BP,AKAP12,C1R,C1S,CCDC80,CHRDL1,COL14A1,COL4A1,COL4A2,COL6A3,CTSK,CYBRD1,DCN,DPT,FBLN1,FBLN2,GPNMB,GSN,HSD11B1,IGFBP6,ITGB5,LAMA2,LRP1,LTBP2,LTBP4,MFAP4,MMP2,MXRA8,PCOLCE2,PDGFRL
author_11_subclusters	15	SWC	5	0.02564102564102564	ABCA8,JUN,PIK3R1,PMP22,TMEM176B
author_11_subclusters	15	MAC	1	0.005025125628140704	SEPP1
author_11_subclusters	15	PC	1	0.005025125628140704	PDGFRB
author_11_subclusters	15	CC EC	0	0.0	
author_11_subclusters	15	CC SMC	0	0.0	
author_11_subclusters	15	T	0	0.0	
author_11_subclusters	15	Vessel EC	0	0.0	
author_11_subclusters	15	Vessel SMC	0	0.0	
author_11_subclusters	16	SWC	67	0.5037593984962406	AATK,ABCA8,AHR,ALCAM,ANGPTL7,ANK3,ARHGAP15,C8orf4,CADM1,CADM2,CDH19,CHL1,CLIC4,CMTM5,COL28A1,COL9A3,CRYAB,DST,EHBP1,ERBB3,FAM134B,FOXD3,FXYD1,GAS7,GFRA3,GPM6B,GPR155,HSPA12A,ITGB8,KCNMB4
author_11_subclusters	16	APOC1+ FB	7	0.03626943005181347	ABCA8,CD81,FXYD1,LGALS1,RARRES2,TMEM176A,TMEM176B
author_11_subclusters	16	PI16+ FB	5	0.02564102564102564	ALDH1A1,ANGPTL7,LGALS1,PMP22,TUBA1A
author_11_subclusters	16	CC SMC	4	0.02040816326530612	CRYAB,CSRP1,FXYD1,LGI4
author_11_subclusters	16	PC	4	0.02040816326530612	FXYD1,LGI4,MT1E,RARRES2
author_11_subclusters	16	Vessel SMC	4	0.02040816326530612	CALM2,CRYAB,CSRP1,LGI4
author_11_subclusters	16	CC EC	2	0.010101010101010102	CD9,NRN1
author_11_subclusters	16	COMP+ FB	2	0.010101010101010102	PMP22,SPARC
author_11_subclusters	16	MAC	2	0.010101010101010102	IQGAP2,MARCKS
author_11_subclusters	16	Vessel EC	2	0.010101010101010102	ITGA6,PLLP
author_11_subclusters	16	T	0	0.0	
author_11_subclusters	17	PI16+ FB	31	0.1834319526627219	APOD,CCDC80,CFD,COL14A1,COL1A1,COL1A2,COL3A1,COL6A2,COL6A3,CTGF,CYR61,DCN,EMP3,FBLN1,FSTL1,GAS1,GDF10,GSN,LUM,MEG3,MFAP4,MMP2,OLFML3,PCOLCE,PLAC9,PTN,RND3,SERPINF1,SPON2,TIMP3
author_11_subclusters	17	APOC1+ FB	25	0.14285714285714285	APOD,CFD,COL14A1,COL6A2,COL6A3,CXCL12,DCN,FBLN1,GAS1,GSN,IGF1,LAPTM4A,LTBP1,LUM,MEG3,MFAP4,MMP2,OLFML3,PCOLCE,PLAC9,PLPP3,SERPINF1,SOD2,SRPX,TIMP3
author_11_subclusters	17	COMP+ FB	21	0.11731843575418995	CCDC80,COL14A1,COL1A1,COL1A2,COL3A1,COL6A2,COL6A3,CTGF,CYR61,DCN,FBLN1,FSTL1,GSN,LTBP1,LUM,MFAP4,MMP2,PLAC9,PTN,SPON2,TIMP3
author_11_subclusters	17	SWC	5	0.02564102564102564	EGR1,JUNB,MT1E,RHOB,TUBA1A
author_11_subclusters	17	PC	4	0.02040816326530612	ADAMTS1,C11orf96,MT1E,MT1M
author_11_subclusters	17	CC SMC	2	0.010101010101010102	ACTB,C11orf96
author_11_subclusters	17	T	2	0.010101010101010102	ACTB,IRF1
author_11_subclusters	17	Vessel EC	2	0.010101010101010102	ADAMTS1,CXCL12
author_11_subclusters	17	Vessel SMC	2	0.010101010101010102	ACTB,C11orf96
author_11_subclusters	17	CC EC	0	0.0	
author_11_subclusters	17	MAC	0	0.0	
author_11_subclusters	18	CC EC	58	0.4084507042253521	ABCG2,ADGRF5,ALDH1A2,APOLD1,ARHGAP29,B2M,CALCRL,CAV1,CCL14,CD74,CD9,CD93,CLEC14A,CLU,DUSP1,ECSCR.1,EFNB2,EGFL7,EMCN,FLT1,GIMAP7,GNG11,GPM6A,HES1,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E,HYAL2
author_11_subclusters	18	Vessel EC	20	0.1111111111111111	BST2,CAV1,CLEC14A,EFNB2,EGFL7,GIMAP7,GNG11,HLA-E,ID1,IFI27,KCTD12,PALMD,PODXL,RNASE1,SDPR,SLC9A3R2,SOX18,SRGN,TJP1,TM4SF1
author_11_subclusters	18	MAC	5	0.02564102564102564	CD74,HLA-DRA,HLA-DRB1,RNASE1,SRGN
author_11_subclusters	18	SWC	1	0.005025125628140704	EGR1
author_11_subclusters	18	T	1	0.005025125628140704	SRGN
author_11_subclusters	18	Vessel SMC	1	0.005025125628140704	TSC22D1
author_11_subclusters	18	APOC1+ FB	0	0.0	
author_11_subclusters	18	CC SMC	0	0.0	
author_11_subclusters	18	COMP+ FB	0	0.0	
author_11_subclusters	18	PC	0	0.0	
author_11_subclusters	18	PI16+ FB	0	0.0	
author_11_subclusters	19	PI16+ FB	37	0.22699386503067484	AKAP12,APOD,C3,CCDC80,CFD,CILP,COL1A1,COL1A2,COL6A1,COL6A2,COL6A3,CYR61,DCN,DPT,EMP3,FBLN1,FSTL1,GAS1,GPX3,GSN,IGFBP6,LGALS1,LRP1,LTBP4,MEG3,MGST1,MMP2,MYOC,PLAC9,PODN
author_11_subclusters	19	APOC1+ FB	31	0.1834319526627219	AKAP12,APOD,C3,CAMK2N1,CFD,COL6A1,COL6A2,COL6A3,DCN,DPT,FBLN1,G0S2,GAS1,GSN,HSPB6,IGF1,JUN,LGALS1,LRP1,LTBP4,MEG3,MGST1,MMP2,PLAC9,PLPP3,PODN,PRRX1,SERPINF1,SOD2,TIMP3
author_11_subclusters	19	COMP+ FB	26	0.14942528735632185	AKAP12,CCDC80,CILP,COL1A1,COL1A2,COL6A1,COL6A2,COL6A3,CYR61,DCN,DPT,FBLN1,FSTL1,G0S2,GEM,GSN,IGFBP6,LRP1,LTBP4,MMP2,PLAC9,PODN,PRRX1,PTN,TIMP2,TIMP3
author_11_subclusters	19	SWC	5	0.02564102564102564	EGR1,JUN,JUNB,TMEM176B,TUBA1A
author_11_subclusters	19	PC	4	0.02040816326530612	CAMK2N1,DES,HSPB6,IGFBP5
author_11_subclusters	19	T	4	0.02040816326530612	GADD45B,IRF1,S100A4,TUBB4B
author_11_subclusters	19	CC SMC	3	0.015228426395939087	DES,HSPB6,IGFBP5
author_11_subclusters	19	MAC	1	0.005025125628140704	FTL
author_11_subclusters	19	CC EC	0	0.0	
author_11_subclusters	19	Vessel EC	0	0.0	
author_11_subclusters	19	Vessel SMC	0	0.0	
author_11_subclusters	2	PI16+ FB	55	0.3793103448275862	APOD,C1R,C1S,CCDC80,CFD,CFH,COL14A1,COL1A1,COL1A2,COL3A1,COL6A1,COL6A2,COL6A3,CRABP2,CTGF,CTSK,DCN,DHRS3,DPT,EMP3,FBLN1,FBLN2,FSTL1,GPNMB,GSN,IGFBP6,LGALS1,LGALS3,LGALS3BP,LRP1
author_11_subclusters	2	COMP+ FB	42	0.26582278481012656	C1R,C1S,CCDC80,COL14A1,COL1A1,COL1A2,COL3A1,COL6A1,COL6A2,COL6A3,CST3,CTGF,CTSK,DCN,DPT,FBLN1,FBLN2,FSTL1,GPNMB,GSN,IGFBP6,LGALS3BP,LRP1,LTBP4,LUM,MFAP4,MFAP5,MGP,MMP2,NNMT
author_11_subclusters	2	APOC1+ FB	32	0.19047619047619047	APOD,C1R,C1S,CD81,CFD,CFH,COL14A1,COL6A1,COL6A2,COL6A3,DCN,DPT,FBLN1,GPNMB,GSN,LAPTM4A,LGALS1,LGALS3BP,LRP1,LTBP4,LUM,MFAP4,MGST1,MMP2,OLFML3,PCOLCE,PLAC9,PRRX2,PRSS23,RAB34
author_11_subclusters	2	MAC	3	0.015228426395939087	CST3,CYBA,FTL
author_11_subclusters	2	T	2	0.010101010101010102	CYBA,S100A4
author_11_subclusters	2	CC SMC	1	0.005025125628140704	SELM
author_11_subclusters	2	PC	1	0.005025125628140704	THY1
author_11_subclusters	2	SWC	1	0.005025125628140704	TUBA1A
author_11_subclusters	2	CC EC	0	0.0	
author_11_subclusters	2	Vessel EC	0	0.0	
author_11_subclusters	2	Vessel SMC	0	0.0	
author_11_subclusters	20	PI16+ FB	47	0.30718954248366015	APOD,C1R,CCDC80,CFD,CFH,COL6A2,COL6A3,CTGF,CTSK,CYR61,DCN,DPT,EMP3,FBLN1,FBLN5,FGF7,GPNMB,GPX3,GSN,IGFBP6,LGALS3,LGALS3BP,LRP1,LTBP4,LUM,MEG3,MFAP4,MGST1,MMP2,MXRA8
author_11_subclusters	20	COMP+ FB	39	0.2422360248447205	C1R,CCDC80,COL4A1,COL6A2,COL6A3,CST3,CTGF,CTSK,CYR61,DCN,DPT,FBLN1,FBLN5,GPNMB,GSN,HSD11B1,IGFBP6,ITGB5,LGALS3BP,LRP1,LTBP4,LUM,MFAP4,MGP,MMP2,MXRA8,NNMT,PDGFRL,PLAC9,PMP22
author_11_subclusters	20	APOC1+ FB	38	0.2345679012345679	APOD,C1R,CFD,CFH,COL6A2,COL6A3,CYGB,DCN,DPT,FBLN1,FGF7,GPNMB,GSN,HSD11B1,IGF1,LAPTM4A,LGALS3BP,LRP1,LTBP4,LUM,MEG3,MFAP4,MGST1,MMP2,MXRA8,PLAC9,PODN,PRRX2,RAB34,RARRES1
author_11_subclusters	20	SWC	3	0.015228426395939087	PMP22,RHOB,TMEM176B
author_11_subclusters	20	MAC	2	0.010101010101010102	CST3,LGMN
author_11_subclusters	20	CC EC	0	0.0	
author_11_subclusters	20	CC SMC	0	0.0	
author_11_subclusters	20	PC	0	0.0	
author_11_subclusters	20	T	0	0.0	
author_11_subclusters	20	Vessel EC	0	0.0	
author_11_subclusters	20	Vessel SMC	0	0.0	
author_11_subclusters	21	CC EC	38	0.2345679012345679	ADGRF5,APOLD1,ARHGAP29,CAV1,CAV2,CD74,CD9,CD93,CLEC14A,CLEC3B,CLU,CRIP2,DUSP1,ECSCR.1,EMCN,ESAM,HLA-B,HLA-DRB1,HLA-E,HYAL2,KANK3,KLF2,LMO2,MMRN1,MMRN2,NPDC1,PALMD,PECAM1,PLAT,PLVAP
author_11_subclusters	21	Vessel EC	13	0.06951871657754011	CAV1,CLEC14A,CRIP2,FAM107A,HLA-E,LMO2,PALMD,PECAM1,PODXL,SDPR,SLC9A3R2,SRGN,TM4SF1
author_11_subclusters	21	MAC	5	0.02564102564102564	CD74,HLA-DPA1,HLA-DRB1,HLA-DRB5,SRGN
author_11_subclusters	21	T	4	0.02040816326530612	RPS19,SRGN,TSC22D3,TUBB4B
author_11_subclusters	21	Vessel SMC	3	0.015228426395939087	ADIRF,CAV2,TSC22D1
author_11_subclusters	21	APOC1+ FB	0	0.0	
author_11_subclusters	21	CC SMC	0	0.0	
author_11_subclusters	21	COMP+ FB	0	0.0	
author_11_subclusters	21	PC	0	0.0	
author_11_subclusters	21	PI16+ FB	0	0.0	
author_11_subclusters	21	SWC	0	0.0	
author_11_subclusters	22	CC EC	30	0.17647058823529413	ABCG2,ADGRF5,APOLD1,B2M,CALCRL,CAV1,CD9,CLU,ECSCR.1,EMCN,EPAS1,ETS2,GNG11,GPM6A,HLA-B,HLA-E,HYAL2,IFI27,KLF2,LDB2,LIMCH1,PLAT,PODXL,RAMP3,SDPR,SLC9A3R2,SYNE2,THBD,TM4SF1,TSPAN7
author_11_subclusters	22	Vessel EC	12	0.06382978723404255	CAV1,EPAS1,FAM107A,GNG11,HLA-E,IFI27,PODXL,SDPR,SLC9A3R2,SRGN,SYNE2,TM4SF1
author_11_subclusters	22	MAC	2	0.010101010101010102	HLA-DRB5,SRGN
author_11_subclusters	22	SWC	2	0.010101010101010102	AP1S2,MT1E
author_11_subclusters	22	T	2	0.010101010101010102	GADD45B,SRGN
author_11_subclusters	22	CC SMC	1	0.005025125628140704	MT1X
author_11_subclusters	22	PC	1	0.005025125628140704	MT1E
author_11_subclusters	22	APOC1+ FB	0	0.0	
author_11_subclusters	22	COMP+ FB	0	0.0	
author_11_subclusters	22	PI16+ FB	0	0.0	
author_11_subclusters	22	Vessel SMC	0	0.0	
author_11_subclusters	3	CC EC	33	0.19760479041916168	ACKR1,BCAM,CALCRL,CD74,CLDN5,CRIP2,CTSC,ECSCR.1,ENG,ETS2,GIMAP1,GIMAP4,GIMAP7,GNG11,HLA-B,HLA-DRB1,HLA-E,IFI27,ITGB4,LMO2,MGST2,NPDC1,PALMD,PECAM1,PLAT,PLVAP,RAMP3,SLC9A3R2,SYNE2,TM4SF1
author_11_subclusters	3	Vessel EC	28	0.16279069767441862	A2M,ADAM15,ADGRL4,BCAM,CD320,CD34,CLDN5,CRIP2,CYYR1,GIMAP1,GIMAP4,GIMAP7,GNG11,HEG1,HLA-E,IFI27,ITGA6,LIFR,LMO2,PALMD,PECAM1,PTPRB,RAMP2,RNASE1,SLC9A3R2,SSFA2,SYNE2,TM4SF1
author_11_subclusters	3	MAC	7	0.03626943005181347	CD74,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,RNASE1
author_11_subclusters	3	Vessel SMC	2	0.010101010101010102	A2M,BCAM
author_11_subclusters	3	CC SMC	1	0.005025125628140704	A2M
author_11_subclusters	3	SWC	1	0.005025125628140704	ITGB4
author_11_subclusters	3	T	1	0.005025125628140704	RPS19
author_11_subclusters	3	APOC1+ FB	0	0.0	
author_11_subclusters	3	COMP+ FB	0	0.0	
author_11_subclusters	3	PC	0	0.0	
author_11_subclusters	3	PI16+ FB	0	0.0	
author_11_subclusters	4	T	59	0.41843971631205673	ACAP1,ALOX5AP,APBB1IP,ARHGDIB,ARL4C,BTG1,CCL4,CCL5,CD2,CD37,CD3D,CD3E,CD3G,CD44,CD48,CD52,CD53,CD69,CD7,CORO1A,CST7,CTSW,CXCR4,CYBA,FYB,GMFG,GPSM3,GZMA,GZMH,GZMK
author_11_subclusters	4	MAC	11	0.0582010582010582	ALOX5AP,CYBA,FYB,HCST,ITGB2,KLF6,LAPTM5,LCP1,PTPRC,SRGN,STK17B
author_11_subclusters	4	CC EC	5	0.02564102564102564	B2M,HLA-A,HLA-B,HLA-C,MYL12A
author_11_subclusters	4	PC	2	0.010101010101010102	BTG1,CD44
author_11_subclusters	4	PI16+ FB	1	0.005025125628140704	S100A4
author_11_subclusters	4	Vessel EC	1	0.005025125628140704	SRGN
author_11_subclusters	4	APOC1+ FB	0	0.0	
author_11_subclusters	4	CC SMC	0	0.0	
author_11_subclusters	4	COMP+ FB	0	0.0	
author_11_subclusters	4	SWC	0	0.0	
author_11_subclusters	4	Vessel SMC	0	0.0	
author_11_subclusters	5	PI16+ FB	71	0.5503875968992248	AEBP1,ALDH1A1,APOD,C1R,C1S,C3,CCDC80,CFD,CFH,COL14A1,COL1A1,COL1A2,COL3A1,COL6A1,COL6A2,COL6A3,COMP,CTSK,CXCL14,CYBRD1,DCN,DHRS3,DPT,EMP3,FBLN1,FBLN2,FBLN5,FIBIN,GPNMB,GPX3
author_11_subclusters	5	APOC1+ FB	53	0.36054421768707484	APOD,C1R,C1S,C3,CD81,CFD,CFH,COL14A1,COL6A1,COL6A2,COL6A3,CXCL12,CXCL14,CYBRD1,DCN,DPT,EPHX1,FBLN1,GGT5,GPNMB,GSN,ISLR,LAPTM4A,LGALS1,LGALS3BP,LRP1,LTBP4,LUM,MFAP4,MGST1
author_11_subclusters	5	COMP+ FB	50	0.3333333333333333	AEBP1,C1R,C1S,CCDC80,COL14A1,COL1A1,COL1A2,COL3A1,COL6A1,COL6A2,COL6A3,COMP,CST3,CTSK,CYBRD1,DCN,DPT,FBLN1,FBLN2,FBLN5,GPNMB,GSN,IGFBP6,LAMA2,LGALS3BP,LRP1,LTBP2,LTBP4,LUM,MFAP4
author_11_subclusters	5	MAC	2	0.010101010101010102	CST3,FTL
author_11_subclusters	5	PC	1	0.005025125628140704	RARRES2
author_11_subclusters	5	SWC	1	0.005025125628140704	TMEM176B
author_11_subclusters	5	T	1	0.005025125628140704	S100A4
author_11_subclusters	5	Vessel EC	1	0.005025125628140704	CXCL12
author_11_subclusters	5	CC EC	0	0.0	
author_11_subclusters	5	CC SMC	0	0.0	
author_11_subclusters	5	Vessel SMC	0	0.0	
author_11_subclusters	6	PC	62	0.4492753623188406	ACTA2,AGT,ANGPT2,APOE,BTG1,C12orf57,C2orf40,CALD1,CAMK2N1,CD44,CLSTN2,COX4I2,CPE,EDNRA,EFHD1,EPS8,FAM153B,FHL1,FXYD1,GUCY1A3,GUCY1B3,HES4,HGF,IGFBP5,IGFBP7,ISYNA1,LGI4,LHFP,LMOD1,LPP
author_11_subclusters	6	Vessel SMC	30	0.17647058823529413	ACTA2,C2orf40,CALD1,CPE,EFHD1,FHL1,GUCY1A3,HES4,IGFBP7,LGI4,LMOD1,LPP,MFGE8,MYH11,MYL9,NDUFA4L2,NOTCH3,NR2F2,NTRK3,PAWR,PDE5A,PPP1R14A,RCAN2,RGS5,RRAD,SLC7A2,SYNPO2,TAGLN,TINAGL1,TPM2
author_11_subclusters	6	CC SMC	27	0.15606936416184972	ACTA2,C1QTNF1,C2orf40,CALD1,CPE,EDNRA,FHL1,FXYD1,GUCY1A3,IGFBP5,IGFBP7,LGI4,LMOD1,LPP,MAP1B,MRGPRF,MYH11,MYL9,NOTCH3,PDE5A,PPP1R14A,RCAN2,RGS5,RRAD,SYNPO2,TAGLN,TPM2
author_11_subclusters	6	APOC1+ FB	10	0.05263157894736842	APOE,CAMK2N1,COL14A1,CPE,CXCL12,FXYD1,GGT5,PDGFRB,PRRX1,RARRES2
author_11_subclusters	6	COMP+ FB	6	0.030927835051546393	APOE,COL14A1,MFGE8,PMEPA1,PRRX1,THY1
author_11_subclusters	6	PI16+ FB	5	0.02564102564102564	COL14A1,MAP1B,PRRX1,S100A4,THY1
author_11_subclusters	6	SWC	4	0.02040816326530612	FXYD1,LGI4,MT1E,NDRG2
author_11_subclusters	6	T	4	0.02040816326530612	BTG1,CD44,RPS19,S100A4
author_11_subclusters	6	Vessel EC	3	0.015228426395939087	CXCL12,EPAS1,GUCY1A3
author_11_subclusters	6	CC EC	1	0.005025125628140704	EPAS1
author_11_subclusters	6	MAC	1	0.005025125628140704	TGFBI
author_11_subclusters	7	CC EC	56	0.3888888888888889	ABCG2,ACKR4,ADGRF5,ALDH1A2,APOLD1,ARHGAP29,CCL14,CD74,CD9,CD93,CLEC14A,CLEC3B,CLU,DNASE1L3,ECSCR.1,EFNA1,EFNB2,EGFL7,EMCN,ENG,ERG,FAM188B,FLT1,GIMAP4,GIMAP7,GNG11,GPM6A,HLA-DRB1,HYAL2,IFI27
author_11_subclusters	7	PI16+ FB	32	0.19047619047619047	APOD,C3,CFD,CFH,CILP,COL1A1,COL1A2,COL3A1,COL6A3,CTSK,DPT,FBLN1,GAS1,GPNMB,GPX3,GSN,IGFBP6,LRP1,LTBP4,LUM,MFAP4,MGST1,MMP2,PCOLCE,PODN,PRELP,PTN,RARRES1,SFRP2,SLPI
author_11_subclusters	7	COMP+ FB	23	0.12994350282485875	CILP,COL1A1,COL1A2,COL3A1,COL6A3,CTSK,DPT,FBLN1,GPNMB,GSN,IGFBP6,LRP1,LTBP4,LUM,MFAP4,MGP,MMP2,PODN,PRELP,PTN,SFRP2,SPON2,TNXB
author_11_subclusters	7	APOC1+ FB	21	0.11731843575418995	APOD,C3,CFD,CFH,COL6A3,DPT,FBLN1,GAS1,GPNMB,GSN,IGF1,LRP1,LTBP4,LUM,MFAP4,MGST1,MMP2,PCOLCE,PODN,RARRES1,SLPI
author_11_subclusters	7	Vessel EC	19	0.10497237569060773	CLEC14A,EFNB2,EGFL7,GIMAP4,GIMAP7,GNG11,ICAM2,IFI27,KCNN3,KCTD12,LMO2,PALMD,PECAM1,PODXL,RNASE1,SDPR,SLC9A3R2,SOX18,TM4SF1
author_11_subclusters	7	MAC	5	0.02564102564102564	CD74,HLA-DPA1,HLA-DRA,HLA-DRB1,RNASE1
author_11_subclusters	7	CC SMC	0	0.0	
author_11_subclusters	7	PC	0	0.0	
author_11_subclusters	7	SWC	0	0.0	
author_11_subclusters	7	T	0	0.0	
author_11_subclusters	7	Vessel SMC	0	0.0	
author_11_subclusters	8	Vessel SMC	81	0.680672268907563	A2M,AC013461.1,ACAN,ACTA2,ACTB,ACTG2,ACTN4,ADIRF,ADRA2A,BCAM,C11orf96,CALD1,CALM2,CARMN,CASQ2,CAV2,CHCHD10,CNN1,CPE,CPM,CRIP1,CRYAB,CSRP1,CSRP2,DSTN,EFHD1,FHL1,FILIP1,FLNA,FRZB
author_11_subclusters	8	CC SMC	58	0.4084507042253521	A2M,AC013461.1,ACTA2,ACTB,ACTG2,AOC3,C11orf96,CALD1,CARMN,CHCHD10,CNN1,CPE,CRYAB,CSRP1,CSRP2,DSTN,FHL1,FLNA,FRZB,FXYD1,IGFBP7,ITGA8,KCNAB1,KCNMB1,LMOD1,LPP,MCAM,MRVI1,MYH11,MYL6
author_11_subclusters	8	PC	36	0.21951219512195122	ACTA2,ACTG2,C11orf96,CALD1,CARMN,CHCHD10,CNN1,CPE,CSRP2,EFHD1,FHL1,FLNA,FXYD1,HES4,IGFBP7,LMOD1,LPP,MRVI1,MYH11,MYL9,MYLK,NOTCH3,NR2F2,PDE5A,PPP1R14A,RCAN2,RGS5,RRAD,SLC7A2,SYNPO2
author_11_subclusters	8	CC EC	4	0.02040816326530612	BCAM,CAV2,SNCG,TSC22D1
author_11_subclusters	8	APOC1+ FB	3	0.015228426395939087	CPE,FXYD1,SELM
author_11_subclusters	8	COMP+ FB	3	0.015228426395939087	BGN,MFGE8,SOD3
author_11_subclusters	8	SWC	3	0.015228426395939087	CRYAB,FXYD1,SORBS2
author_11_subclusters	8	Vessel EC	3	0.015228426395939087	A2M,BCAM,FILIP1
author_11_subclusters	8	T	2	0.010101010101010102	ACTB,PFN1
author_11_subclusters	8	PI16+ FB	1	0.005025125628140704	SOD3
author_11_subclusters	8	MAC	0	0.0	
author_11_subclusters	9	APOC1+ FB	60	0.42857142857142855	ABCA8,AKAP12,APOC1,APOD,APOE,AR,C1R,C1S,C3,CD81,CFD,CFH,COL6A1,COL6A2,CPE,CXCL12,DCN,DPT,EEA1,EPHX1,F10,FBLN1,FGF7,FXYD1,GAS1,GGT5,GSN,HSD11B1,HSPB6,IGF1
author_11_subclusters	9	PI16+ FB	47	0.30718954248366015	AKAP12,ALDH1A1,APOD,C1R,C1S,C3,CCDC80,CFD,CFH,CILP,COL1A2,COL3A1,COL6A1,COL6A2,CTSK,CYR61,DCN,DPT,FBLN1,FGF7,GAS1,GSN,ISLR,LGALS3BP,LRP1,LUM,MEG3,MFAP4,MGST1,MMP2
author_11_subclusters	9	COMP+ FB	29	0.1695906432748538	AKAP12,APOE,C1R,C1S,CCDC80,CILP,COL1A2,COL3A1,COL6A1,COL6A2,CTSK,CYR61,DCN,DPT,FBLN1,GSN,HSD11B1,LGALS3BP,LRP1,LUM,MFAP4,MMP2,MXRA8,PLAC9,PODN,PRSS23,PTN,SFRP2,TIMP3
author_11_subclusters	9	PC	7	0.03626943005181347	APOE,CPE,FILIP1L,FXYD1,HSPB6,IGFBP5,RARRES2
author_11_subclusters	9	CC SMC	5	0.02564102564102564	CPE,FILIP1L,FXYD1,HSPB6,IGFBP5
author_11_subclusters	9	SWC	4	0.02040816326530612	ABCA8,FXYD1,MATN2,RHOB
author_11_subclusters	9	Vessel SMC	2	0.010101010101010102	CPE,FILIP1L
author_11_subclusters	9	MAC	1	0.005025125628140704	SEPP1
author_11_subclusters	9	T	1	0.005025125628140704	S100A4
author_11_subclusters	9	Vessel EC	1	0.005025125628140704	CXCL12
author_11_subclusters	9	CC EC	0	0.0	
