cell_type	comparison	gene_symbol	direction	logFC	FDR
Macrophage	non_diabetic_ED_vs_normal	HLA-DQA2	down	-8.87601905517534	0.0068510634614971
Macrophage	non_diabetic_ED_vs_normal	RERGL	up	5.24890023738277	0.120781035014169
Macrophage	non_diabetic_ED_vs_normal	CASQ2	up	6.29955294246366	0.193263220439967
Macrophage	non_diabetic_ED_vs_normal	MCAM	up	2.63691356030502	0.193263220439967
Macrophage	non_diabetic_ED_vs_normal	RGS5	up	5.30213113918318	0.227371972091562
Macrophage	non_diabetic_ED_vs_normal	ADAMTS1	up	2.48671380333935	0.227371972091562
Macrophage	non_diabetic_ED_vs_normal	GPRC5C	up	2.15765819820006	0.574675360587981
Macrophage	non_diabetic_ED_vs_normal	ACP5	down	-2.17743724864816	0.632027952360903
Macrophage	non_diabetic_ED_vs_normal	GUCY1A3	up	2.31819103904193	0.632027952360903
Macrophage	non_diabetic_ED_vs_normal	ZNF812P	up	2.49025194801001	0.632027952360903
Macrophage	organic_ED_vs_normal	HLA-DQA2	down	-8.40541908148024	3.99170183614444e-05
Macrophage	organic_ED_vs_normal	MCAM	up	2.7423239770785	0.229042358314239
Macrophage	organic_ED_vs_normal	ADAMTS1	up	2.3976116297168	0.235598308360555
Macrophage	organic_ED_vs_normal	RGS5	up	5.00146439141068	0.235598308360555
Macrophage	organic_ED_vs_normal	CASQ2	up	6.174459416915	0.235598308360555
Macrophage	organic_ED_vs_normal	CEBPA	down	-1.87191460812213	0.235598308360555
Macrophage	organic_ED_vs_normal	WFDC1	up	5.6453298542888	0.235598308360555
Macrophage	organic_ED_vs_normal	ITGBL1	down	-2.24320636639779	0.235598308360555
Macrophage	organic_ED_vs_normal	GUCY1A3	up	2.49185990556119	0.235598308360555
Macrophage	organic_ED_vs_normal	COCH	up	5.65590220213179	0.235598308360555
Mural	diabetic_ED_vs_normal	ERAP2	down	-4.07416883361962	0.0310333164396307
Mural	diabetic_ED_vs_normal	TRIB1	up	4.48685276198921	0.0310333164396307
Mural	diabetic_ED_vs_normal	DNAH11	down	-4.77839937046901	0.0310333164396307
Mural	diabetic_ED_vs_normal	DUSP5	up	3.55450969066455	0.0310333164396307
Mural	diabetic_ED_vs_normal	GSC	down	-2.86957169753249	0.0310333164396307
Mural	diabetic_ED_vs_normal	ABCC9	down	-2.62902657458597	0.0310333164396307
Mural	diabetic_ED_vs_normal	NEDD9	up	2.49971800091054	0.0310333164396307
Mural	diabetic_ED_vs_normal	GUCY1A2	down	-2.18078661550501	0.0417670389148131
Mural	diabetic_ED_vs_normal	THBD	up	2.17043042738684	0.0417670389148131
Mural	diabetic_ED_vs_normal	CSGALNACT1	down	-2.42304157661403	0.0417670389148131
Mural	non_diabetic_ED_vs_normal	PGAM2	up	1.70288488009734	0.112103349704134
Mural	non_diabetic_ED_vs_normal	GSC	down	-2.38337729280332	0.112103349704134
Mural	non_diabetic_ED_vs_normal	MYOZ1	up	1.74423806754686	0.112103349704134
Mural	non_diabetic_ED_vs_normal	DNAH11	down	-3.5336731249645	0.112103349704134
Mural	non_diabetic_ED_vs_normal	HGF	down	-2.29259955620758	0.112103349704134
Mural	non_diabetic_ED_vs_normal	BTC	up	3.1006916559081	0.112103349704134
Mural	non_diabetic_ED_vs_normal	GGT5	down	-2.06319520620617	0.112103349704134
Mural	non_diabetic_ED_vs_normal	TMEM59L	up	1.84781088194898	0.112103349704134
Mural	non_diabetic_ED_vs_normal	STEAP4	down	-2.1710250386854	0.112103349704134
Mural	non_diabetic_ED_vs_normal	CA3	down	-1.61387316922478	0.112103349704134
Mural	organic_ED_vs_normal	GSC	down	-2.61605131725057	0.0075136225811442
Mural	organic_ED_vs_normal	DNAH11	down	-4.05046752738064	0.0075136225811442
Mural	organic_ED_vs_normal	GGT5	down	-2.16208910719408	0.01275225036281
Mural	organic_ED_vs_normal	PGAM2	up	1.64511453187179	0.0165435315241013
Mural	organic_ED_vs_normal	CA3	down	-1.61979852870339	0.0165435315241013
Mural	organic_ED_vs_normal	HIC1	down	-1.67604282438372	0.0165435315241013
Mural	organic_ED_vs_normal	CSGALNACT1	down	-2.01026664321072	0.0171043739925219
Mural	organic_ED_vs_normal	GUCY1A2	down	-1.9337334368287	0.0171043739925219
Mural	organic_ED_vs_normal	MYOZ1	up	1.69411254534578	0.0171043739925219
Mural	organic_ED_vs_normal	ZEB2	down	-1.17206030931234	0.0179338133352767
Smooth_muscle	diabetic_ED_vs_normal	ERAP2	down	-3.80883340122375	0.122012919291451
Smooth_muscle	diabetic_ED_vs_normal	NR4A1	up	2.86975770681897	0.122012919291451
Smooth_muscle	diabetic_ED_vs_normal	S100A4	down	-2.52455904788221	0.164897101858843
Smooth_muscle	diabetic_ED_vs_normal	PNCK	up	2.90627203185632	0.164897101858843
Smooth_muscle	diabetic_ED_vs_normal	NR4A3	up	3.04790562384066	0.164897101858843
