cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Fibroblast	non_diabetic_ED_vs_normal	PDE8B	up_in_ED	1.9186981767196	4.26484107400682	1.33864036790576e-05	0.0278880628665795	3	3	2.9599959356459515	4.946289200389269	1.9862932647433174	3	1.0	3	N1__Fibroblast:2.825;N2__Fibroblast:2.836;N3__Fibroblast:3.220	ED1__Fibroblast:4.730;ED2__Fibroblast:5.251;ED3__Fibroblast:4.858
Fibroblast	non_diabetic_ED_vs_normal	SMOC1	up_in_ED	1.84050629827272	6.05630594666732	1.64065503101432e-05	0.0278880628665795	3	3	4.818802601597716	6.718854660863765	1.9000520592660486	3	1.0	3	N1__Fibroblast:4.417;N2__Fibroblast:5.095;N3__Fibroblast:4.944	ED1__Fibroblast:6.315;ED2__Fibroblast:6.987;ED3__Fibroblast:6.854
Fibroblast	non_diabetic_ED_vs_normal	PDE3B	up_in_ED	2.98066489232656	2.85957772983138	1.74237082547782e-05	0.0278880628665795	3	3	0.6840232060025356	3.643031699155621	2.9590084931530853	3	1.0	3	N1__Fibroblast:0.797;N2__Fibroblast:0.740;N3__Fibroblast:0.515	ED1__Fibroblast:3.328;ED2__Fibroblast:4.346;ED3__Fibroblast:3.255
Fibroblast	non_diabetic_ED_vs_normal	CA2	up_in_ED	2.8807877634505	2.79939863042632	1.82231582170378e-05	0.0278880628665795	3	3	0.6712138711823933	3.5914250484639534	2.92021117728156	3	1.0	3	N1__Fibroblast:0.390;N2__Fibroblast:0.572;N3__Fibroblast:1.052	ED1__Fibroblast:3.785;ED2__Fibroblast:3.931;ED3__Fibroblast:3.057
Fibroblast	non_diabetic_ED_vs_normal	UG0898H09	up_in_ED	3.96669112902388	-0.654316582484145	1.88424474708681e-05	0.0278880628665795	3	3	-3.606376584351537	0.1543332333577397	3.7607098177092766	3	1.0	3	N1__Fibroblast:-3.640;N2__Fibroblast:-2.961;N3__Fibroblast:-4.218	ED1__Fibroblast:-0.365;ED2__Fibroblast:0.483;ED3__Fibroblast:0.345
Fibroblast	non_diabetic_ED_vs_normal	MECOM	down_in_ED	-3.13561627285425	1.54447759936062	2.12336783034444e-05	0.0278880628665795	3	3	2.3139271812417097	-0.8483217402875837	-3.1622489215292933	3	1.0	3	N1__Fibroblast:2.193;N2__Fibroblast:2.303;N3__Fibroblast:2.446	ED1__Fibroblast:-0.831;ED2__Fibroblast:-1.431;ED3__Fibroblast:-0.283
Fibroblast	non_diabetic_ED_vs_normal	ATP1A2	up_in_ED	1.93301609196803	4.28494203410675	2.3356279860259e-05	0.0278880628665795	3	3	2.96449690733939	4.964436837142792	1.9999399298034017	3	1.0	3	N1__Fibroblast:3.119;N2__Fibroblast:2.821;N3__Fibroblast:2.954	ED1__Fibroblast:4.652;ED2__Fibroblast:4.991;ED3__Fibroblast:5.250
Fibroblast	non_diabetic_ED_vs_normal	RNF165	up_in_ED	4.76255103895713	0.417556797905598	2.39661295776606e-05	0.0278880628665795	3	3	-3.32371094883322	1.1925847016393611	4.516295650472581	3	1.0	3	N1__Fibroblast:-3.640;N2__Fibroblast:-2.598;N3__Fibroblast:-3.733	ED1__Fibroblast:0.135;ED2__Fibroblast:2.106;ED3__Fibroblast:1.337
Fibroblast	non_diabetic_ED_vs_normal	NR4A2	up_in_ED	1.98705253193218	4.94882835967728	2.52638539420325e-05	0.0278880628665795	3	3	3.5977174968972556	5.619225540537115	2.021508043639859	3	1.0	3	N1__Fibroblast:3.430;N2__Fibroblast:3.565;N3__Fibroblast:3.798	ED1__Fibroblast:5.901;ED2__Fibroblast:5.550;ED3__Fibroblast:5.407
Fibroblast	non_diabetic_ED_vs_normal	NPR3	down_in_ED	-1.89594888129302	4.17408037900949	2.54221174718136e-05	0.0278880628665795	3	3	4.763608574116227	2.956539021524072	-1.807069552592155	3	1.0	3	N1__Fibroblast:4.187;N2__Fibroblast:5.054;N3__Fibroblast:5.050	ED1__Fibroblast:2.702;ED2__Fibroblast:3.212;ED3__Fibroblast:2.955
